KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Tranditional Chinese (CHT),Simplified Chinese (CHN),"Indonesian
"
PERFORMANCE_DYNAMICS,MAX DYNAMIC OBJECTS,OBJETOS DINÂMICOS,FRESCURITEZINHAS,ДИНАМИЧЕСКИЕ ОБЪЕКТЫ,さいだい ダイナミック オブジェクト,Dynamische Objekte,MAX OBJET DYNAMIQUE,Maximo de objetos dinámicos,Dynamické objekty,다이나믹 오브젝트 최대,MAX DYNAMISCHE OBJECTEN,"MAX OGGETTI DINAMICI
",最大動態物件,最多动态对象数,
PERFORMANCE_PARTICLES,PARTICLE EFFECTS,EFEITOS DE PARTÍCULA,FIRULINHAS,ЭФФЕКТЫ ЧАСТИЦ,パーティクル エフェクト,Partikeleffekte,EFFETS DE PARTICULES,efectos de partículas,Částicové efekty,입자 이펙트,DEELTJESEFFECTEN,"EFFETTI PARTICELLARI
",粒子特效,粒子效果,
PERFORMANCE_SHADOWS,DYNAMIC SHADOWS,SOMBRAS DINÂMICAS,SOMBRAS SINISTRAS,ДИНАМИЧЕСКИЕ ТЕНИ,ダイナミック シャドウ,Dynamische Schatten,OMBRES DYNAMIQUE,"Sombras dinámicas
",Dinamické stíny,다이나믹 그림자,DYNAMISCHE SCHADUWEN,"OMBRE DINAMICHE
",動態陰影,动态阴影,
PERFORMANCE_PERSISTENT,PERSISTENT OBJECTS,OBJETOS PERSISTENTES,FIKA P SEMPRE,ПОСТОЯННЫЕ ОБЪЕКТЫ,えいぞく オブジェクト,Persistente Objekte,MAX OBJET PERSISTANT,Objetos persistentes,Persistentní objekty,지속성 오브젝트,BLIJVENDE OBJECTEN,"OGGETTI PERSISTENTI
",持久化對象,,
PERFORMANCE_REFLECTIONS,REFLECTIONS,REFLEXOS,MAIS FRESCURA,ОТРАЖЕНИЯ,はんしゃ,Reflexionen,REFLECTIONS,Reflejos,Odlesky,반사,REFLECTIES,"RIFLESSI
",反射,反射,
,,,,,,,,,,,,,,,
MAPPING_PRESSANYKEY,PRESS ANY KEY,pressione qualquer tecla,APERTA QQ COISA,НАЖМИТЕ ЛЮБУЮ КЛАВИШУ,キーを おしてください,Beliebige Taste drücken,APPUYEZ SUR N'IMPORTE QUEL TOUCHE,Pulsa cualquer tecla,Zmáčkni libovolnou klávesu,아무 키나 누르세요.,DRUK OP EEN TOETS,"PREMI UN TASTO QUALSIASI
",按任意鍵,按任意键,
MAPPING_DEFAULT,RESET TO DEFAULT,RESTAURAR PADRÃO,VOLTA P NORMAL,СБРОСИТЬ,デフォルトに もどす,Einstellungen zurücksetzen,PARAMETRES PAR DEFAUTS,Restaurar a predeterminado,Původní nastavení,초기화,RESET NAAR STANDAARDINSTELLINGEN,"RIPRISTINA
",重置為默認設置,重置为默认键位,
MAPPING_MOVEUP,Move Up,Mover Acima,P CIMA,Вверх,うえに いどう,Rauf,Avancer,Mover Arriba,Pohyb nahoru,위,Beweeg Omhoog,"Muovi Su
",提升,向上,
MAPPING_MOVEDOWN,Move Down,Mover Abaixo,P BAIXO,Вниз,したに いどう,Runter,Reculer,Mover Abajo,Pohyb dolů,아래,Beweeg Omlaag,"Muovi Giù
",下移,向下,
MAPPING_MOVERIGHT,Move Right,Mover à Direita,P LADO ,Вправо,みぎに いどう,Rechts,Droite,Mover a la derecha,Pohyb doprava,오른쪽,Beweeg Rechts,"Muovi a Destra
",向右移動,向右,
MAPPING_MOVELEFT,Move Left,Mover à Esquerda,P OUTRO LADO,Влево,ひだりに いどう,Links,Gauche,Mover a la izquierda,Pohyb doleva,왼쪽,Beweeg Links,"Muovi a Sinistra
",向左移動,向左,
MAPPING_FIRE,Fire,Atirar,POW POW,Огонь,しゃげき,Schießen,Tirer,Disparar,Střelba,발사,Vuur,"Spara
",開火,开火,
MAPPING_AIM,Aim,Mirar,APONTA,Прицел,エイム,Zielen,Viser,Apuntar,Míření,조준,Richt,"Mira
",瞄準,瞄准,
MAPPING_GRENADE,Grenade,Granada,BOMBA,Граната,グレネード,Granate,Grenade,Granada,Granát,그레네이드,Granaat,"Granata
",手榴彈,手榴弹,
MAPPING_MELEE,Melee,Corpo-A-Corpo,SAIR NO TAPA,Ближний бой,かくとう,Nahkampf,Corps à corps,Cuerpo a cuerpo,"Útok zblízka
",근접 공격,Melee,"Mischia
",近身攻擊,近身攻击,
MAPPING_SPRINT,Sprint/Dash,Correr/Saltar,CORRE/AVOA,Бег/Уворот,スプリント/ダッシュ,Laufen/Sprinten,Sprint/Dash,Correr/Deslizarse,Běh,달리기 / 대쉬,Sprint / Bestorm,"Corsa/Scatto
",滑行/衝刺,奔跑/躲闪,
MAPPING_USE,Use,Usar,FAZE,Использовать,つかう,Benutzen,Utiliser,Usar,Použít,사용,Gebruik,Usa,使用,使用,
MAPPING_SWITCH,Switch Weapon,Trocar Arma,TROCA CANHÃO,Сменить оружие,ぶきの きりかえ,Waffe wechseln,Changer d'arme,Cambiar arma,Změnit zbraň,무기 바꾸기,Wissel Wapen,"Cambia Arma
",切換武器,切换武器,
MAPPING_RELOAD,Reload,Recarregar,TROCA BALA,Перезарядка,リロード,Nachladen,Recharger,Recargar,Přebít zbraň,재장전,Herlaad,"Ricarica
",換彈,重装弹药,
MAPPING_SPRINTTOGGLE,Sprint Toggle,Acionar Corrida,CORRE COMO,Всегда бежать,スプリント トグル,Sprint aktivieren,Activer sprint,Activar Sprint,Přepnutí na běh,달리기 토글,Start/Stop Sprint,"Corsa sì/no
",切換衝刺,切换奔跑,
MAPPING_LEFTARROW,LEFT ARROW,SETA ESQUERDA,P OTRO LADO,LEFT ARROW,ひだり やじるしキー,Pfeil nach links,FLECHE GAUCHE,Flecha Izquierda,Šipka vlevo,LEFT ARROW,PIJL-LINKS,"FRECCIA SINISTRA
",左箭頭,左箭头,
MAPPING_RIGHTARROW,RIGHT ARROW,SETA DIREITA,P LADO,RIGHT ARROW,みぎ やじるしキー,Pfeil nach rechts,FLECHE DROITE,Flecha Derecha,Šipka vpravo,RIGHT ARROW,PIJL-RECHTS,"FRECCIA DESTRA
",右箭頭,右箭头,
MAPPING_UPARROW,UP ARROW,SETA PRA CIMA,P CIMA,UP ARROW,うえ やじるしキー,Pfeil nach oben,FLECHE HAUT,Flecha Arriba,Šipka nahoru,UP ARROW,PIJL-OMHOOG,"FRECCIA SU
",向上箭頭,上箭头,
MAPPING_DOWNARROW,DOWN ARROW,SETA PRA BAIXO,P BAIXO,DOWN ARROW,した やじるしキー,Pfeil nach unten,FLECHE BAS,Flecha Abajo,Šipka dolů,DOWN ARROW,PIJL-OMLAAG,FRECCIA GIÙ,向下箭頭,下箭头,
MAPPING_ENTER,ENTER,ENTER,ENTER,ENTER,ENTER,Eingabe,ENTRER,Intro,Enter,ENTER,ENTER,"INVIO
",ENTER,ENTER,
MAPPING_SHIFT,SHIFT,SHIFT,SHIFIT,SHIFT,SHIFT,Shift,SHIFT,Shift,Shift,SHIFT,SHIFT,SHIFT,SHIFT,SHIFT,
MAPPING_CTRL,CTRL,CTRL,CRTL,CTRL,CTRL,Strg,CRTL,Control,Ctrl,CTRL,CTRL,CTRL,CTRL,CTRL,
MAPPING_ALT,ALT,ALT,ALT,ALT,ALT,Alt,ALT,Alt,Alt,ALT,ALT,ALT,ALT,ALT,
MAPPING_SPACEBAR,SPACEBAR,ESPAÇO,ESPAÇO,SPACEBAR,SPACE,Leertaste,ESPACE,Espacio,Mezerník,SPACEBAR,SPATIEBALK,"SPAZIO
",SPACEBAR,SPACEBAR,
MAPPING_BACKSPACE,BACKSPACE,APAGAR,APAGAR,BACKSPACE,BACKSPACE,Backspace,RETOUR ARRIERE,Retroceso,"Backspase
",BACKSPACE,BACKSPACE,BACKSPACE,BACKSPACE,后退键,
MAPPING_TAB,TAB,TAB,TAB,TAB,TAB,Tab,TAB,Tab,TAB,TAB,TAB,TAB,TAB,TAB,
MAPPING_HOME,HOME,HOME,HOME,HOME,HOME,Pos1,DEBUT,Inicio,Domů,HOME,HOME,HOME,HOME,HOME,
MAPPING_END,END,END,END,END,END,Ende,FIN,Fin,Konec,END,END,END,END,END,
MAPPING_DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,Entfernen,SUPPR,Borrar,"Delete
",DELETE,DELETE,"CANC
",DELETE,DELETE,
MAPPING_INSERT,INSERT,INSERT,INSERT,INSERT,INSERT,Einfügen,INSERTION,Insertar,Insert,INSERT,INSERT,INS,INSERT,INSERT,
MAPPING_PAGEUP,PAGE UP,PAGINA ACIMA,PAGINA ACIMA,PAGE UP,PAGE UP,Bild auf,PAGE SUIVANTE,Re Pág,Page up,PAGE UP,PAGE-UP,PGSU,PAGE UP,PAGE UP,
MAPPING_PAGEDOWN,PAGE DOWN,PAGINA ABAIXO,PAGINA ABAIXO,PAGE DOWN,PAGE DOWN,Bild ab,PAGE PRECEDENTE,Av Pág,"Page down
",PAGE DOWN,PAGE-DOWN,"PGGIù
",PAGE DOWN,PAGE DOWN,
MAPPING_LEFTMOUSE,LEFT MOUSE,MOUSE ESQUERDO,MOUSE ESQUERDO,LEFT MOUSE,ひだり クリック,Linke Maustaste,CLIC GAUCHE,Click Izquierdo,Levé myšítko,LEFT MOUSE,LINKER MUISKNOP,"MOUSE SINISTRO
",鼠標左鍵,鼠标左键,
MAPPING_RIGHTMOUSE,RIGHT MOUSE,MOUSE DIREITO,MOUSE DIREITO,RIGHT MOUSE,みぎ クリック,Rechte Maustaste,CLIC DROIT,Click Derecho,Pravé myšítko,RIGHT MOUSE,RECHTER MUISKNOP,"MOUSE DESTRO
",鼠標右鍵,鼠标右键,
MAPPING_MIDDLEMOUSE,MIDDLE MOUSE,MOUSE DO MEIO,MOUSE DO MEIO,MIDDLE MOUSE,マウスホイール ボタン,Mittlere Maustaste,CLIC CENTRAL,Click Central,Prostřední tlačítko myši,MIDDLE MOUSE,MIDDELSTE MUISKNOP,"CENTRALE MOUSE
",鼠標滾輪,鼠标滚轮,
,,,,,,,,,,,,,,,
PAUSE_FXPAUSE,GAME PAUSED,JOGO PAUSADO,PERAÊ,ИГРА НА ПАУЗЕ,GAME PAUSED,Pause,JEU EN PAUSE,Juego en pausa,Pauza,게임 정지 중,SPEL GEPAUZEERD,GIOCO IN PAUSA,遊戲暫停,游戏暂停,
PAUSE_CONTINUE,CONTINUE,CONTINUAR,VOLTA ,ПРОДОЛЖИТЬ,つづける,Weiter,REPRENDRE,Continuar,Pokračovat,계속하기,GA VERDER,"CONTINUA
",繼續,继续,
PAUSE_SHIP,BACK TO SHIP,VOLTAR À NAVE,VOLTA P AVIÃO,НАЗАД НА КОРАБЛЬ,ふねに もどる,Zum Raumschiff,RETOUR AU VAISSEAU,Volver a la nave,Zpátky na loď,기지로 돌아가기,TERUG NAAR HET SCHIP,"TORNA ALLA NAVE
",返回飛船,返回飞船,
PAUSE_MENU,MAIN MENU,MENU,TELA C FRESCURA,ГЛАВНОЕ МЕНЮ,メインメニュー,Hauptmenü,MENU PRINCIPAL,Menú Principal,Zpět do menu,메인 메뉴,HOOFDMENU,"MENU PRINCIPALE
",主目錄,回主菜单,
PAUSE_EXIT,EXIT,SAIR,VAZA,ВЫХОД,しゅうりょう,Beenden,QUITTER,Salir,Konec,나가기,SLUIT,"ESCI
",離開,退出游戏,
,,,,,,,,,,,,,,,
INFO_LOWSTAMINA,Low Stamina,Stamina Baixa,Sem folego,Низкая выносливость,スタミナが たりない,Zu wenig Ausdauer,Endurance faible,"Bajo aguante/resistencia
",Malá výdrž,스테미나가 모자랍니다!,Laag Stamina,"Stamina Bassa
",耐力過低,耐力过低,
INFO_OUTOFGRENADES,Out of Grenades,Sem Granadas,Sem bomba,Гранаты закончились,グレネードが ない,Keine Granaten,Plus de grenade,Sin granadas,Bez granátů,그레네이드 없음!,Geen Granaten Meer,"Granate Terminate
",沒有手榴彈,没有手榴弹,
INFO_CANTUSEGRENADES,Can't Use Grenades,Não Usa Granadas,N usa bomba,Не может использовать гранаты,グレネードは つかえない,Wirft keine Granaten,Ne peux pas utiliser les grenades,No puedes usar granadas,Nemůžeš použít granáty,그레네이드를 사용할 수 없습니다!,Kan Geen Granaten Gebruiken,"Non Puoi Usare Granate
",不能用手榴彈,不能使用手榴弹,
INFO_RELOADING,Reloading,Recarregando,Trocano as bala,Перезарядка,リロード,Nachladen,Rechargement,Recargando,Přebíjení,재장전 중,Herladen,"Ricarica
",換彈中,装填中,
INFO_OUTOFAMMO,No Ammo,Sem Munição,Sem bala,Нет патронов,たまが ない,Keine Munition,Plus de munition,Sin munición,Bez munice,탄환이 부족합니다.,Geen Munitie,"No Munizioni
",沒有彈藥,没有弹药,
INFO_FULLAMMO,Ammo Is Full,Munição Cheia,Bala d+,Полная обойма,たまは まんたん,Munition voll,Munitions pleines,Munición llena,"Plná munice
",탄창이 가득찼습니다.,Munitie Is Vol,"Munizioni Piene
",彈藥已滿,弹药已满,
INFO_HEALTHPLUS,+ Health,+ Vida,+ Sangue,+ Здоровье,+ たいりょく,+ Gesundheit,+ VIE,+ Vida,Zdraví+,+ 체력,+ Gezondheid,+ Vita,+ 健康,+ 血量,
INFO_HEALTHFULL,Health Is Full,Vida Cheia,Saúde cheia,Полностью здоров,たいりょくは まんたん,Vollständig geheilt,Vie pleine,Vida llena,"Plné zdraví
",체력이 가득찼습니다.,Gezondheid Is Vol,"Vita al Massimo
",健康已滿,血量已满,
INFO_SHIELDPLUS,Overshield,Escudo Extra,Escudão,Суперщит,きょうかシールド,Superschild,Bouclier supplémentaire,"Escudo extra
","Štít+
",실드 과충전,Overlaad Schild,"SovraScudo
",額外護甲,额外护盾,
INFO_SHIELDMAX,Overshield Maxed,Escudo Máximo,Escudo cheio,Суперщит на пределе,きょうかシールドは さいだい,Superschild voll,Bouclier supplémentaire max,"Escudo máximo
","Maximální štít
",실드 과충전 최대치,Overlading Schild Maximaal,"SovraScudo al Massimo
",額外護甲已滿,额外护盾已满,
INFO_SHIELDLOST,Overshield Lost,Sem Escudo Extra,Perdeu Escudão,Суперщит потерян,きょうかシールドを うしなった,Kein Superschild,Bouclier supplémentaire perdu,Sin escudo,"Štít ztracen
",실드 과충전 사라짐,Overlading Schild Verloren,"SovraScudo Perso
",失去額外護甲,失去额外护盾,
INFO_CANTUSESHIELD,Can't Use Shields,Não Usa Escudos,N usa escudinho,Не может использовать щит,シールドは つかえない,Benutzt kein Schild,Ne peux pas utiliser le bouclier,No puede usar escudos,Nemůžeš použít štít,실드를 사용할 수 없습니다.,Kan Geen Schild Gebruiken,"Non Puoi Usare Scudi
",不能使用護甲,无法使用护盾,
INFO_NOTENOUGHBOUNTY,Not Enough Bounty,Estrelas Insuficientes,Ta duro ,Не достаточно наград,かねが たりない,Nicht genug Kopfgeld,Pas assez de Prime,Estrellas insuficientes,Nedostatek bodů,현상금이 부족해요!,Niet Genoeg Premie,"Non Abbastanza Taglia
",賞金不足,赏金不足,
,,,,,,,,,,,,,,,
WEAPON_DAMAGE,DAMAGE,DANO,ESTRAGO,УРОН,ダメージ,Schaden,DEGATS,Daño,Poškození,공격력,SCHADE,"DANNO
",攻擊力,攻击力,
WEAPON_RANGE,RANGE,ALCANCE,VAI LONGE/,ДАЛЬНОСТЬ,しゃてい,Reichweite,PORTEE,Alcance,Dostřel,사거리,BEREIK,"DISTANZA
",射程,射程,
WEAPON_CAPACITY,CAPACITY,CAPACIDADE,QTA BALA?,ВМЕСТИМОСТЬ,ようりょう,Magazingröße,CAPACITE,Capacidad,Kapacita,탄창,CAPACITEIT,CAPACITÀ,容量,装弹量,
WEAPON_AMMOTYPE,AMMO TYPE,tipo de munição,TIPO D BALA,ТИП ПАТРОНОВ,たまの しゅるい,Munitionstyp,TYPE DE MUNITION,Tipo de munición,"Typ munice
",탄환 종류,MUNITIETYPE,"TIPO MUNIZIONI
",彈藥種類,弹药种类,
WEAPON_AMMOCOST,AMMO COST,custo da munição,GASTA QTO,РАСХОД ПАТРОНОВ,たまの しょうひ,Munitionsverbrauch,COUT EN MUNITION,Coste de munición,Cena munice,탄환 비용,KOGELPRIJS,"COSTO MUNIZIONI
",彈藥消耗,弹药消耗,
WEAPON_IMPACT,IMPACT,IMPACTO,BATE FORTE/,ПОПАДАНИЕ,しょうげき,Stoßkraft,IMPACT,Impacto,Náraz,충격력,IMPACT,"IMPATTO
",衝擊力,,
WEAPON_RATE,RATE,CADÊNCIA,POU POU,СКОРОСТЬ,レート,Feuerrate,CADENCE,Cadencia,Rychlost,발사 속도,SNELHEID,"FREQUENZA
",射擊速度,射击速度,
WEAPON_RELOAD,RELOAD,RECARGA,TROCA FASSIO,ПЕРЕЗАРЯДКА,リロード,Nachladen,RECHARGE,Recargar,Přebití,재장전,HERLAAD,"RICARICA
",換彈速度,重装时间,
WEAPON_BURST,BURST,RAJADA,RATATATA,ВЗРЫВ,バースト,Feuerstoß,RAFALE,Ráfaga,Výbuch,연사,EXPLOSIE,"
FUOCO",連射,,
WEAPON_PIERCING,PIERCING,PERFURAÇÃO,FURA AS COISA,ПРОБИВАНИЕ,かんつう,Panzerbrechend,PENETRANTE,Perforante,Pronikavý,관통,SCHERPTE,"PERFORANTE
",穿甲,穿甲,
WPNAME_SAWEDOFF,Sawed-Off,Cano Serrado,Escopeta sinistra,Обрез,ソード オフ,Abgesägt,Canon scié,"Escopeta recortada
",Upilovaná zbraň,개조된 총,Afgezaagde,Canne Mozze,削短型,锯短的,
WPNAME_PISTOL,Crude Pistol,Pistola Ruim,Pistola caseira,Самострел,そあくな ピストル,Grobe Pistole,Pistolet grossier,Pisotla cruda,Surová pistole,흔한 권총,Onbewerkt Pistool,"Pistola Grezza
",粗糙手槍,粗制手枪,
WPNAME_PISTOLJIMMY,Elite Pistol,Pistola Elite,Pistola de playboy,Пистолет,エリートピストル,Elitepistole,Pistolet d'élite,Pistola de élite,Elitní pistole,정예 권총,Elite Pistool,"Pistola Elite
",精英手槍,优质手枪,
WPNAME_PISTOLHEAVY,Heavy Pistol,Pistola Pesada,Pistolona,Тяжелый пистолет,ヘビーピストル,Schwere Pistole,Pistolet lourd,Pistola pesada,"Těžká pistole
",중형 권총,Zwaar Pistool,"Pistola Pesante
",重型手槍,重型手枪,
WPNAME_PISTOLPLASMA,Plasma Pistol,Pistola de Plasma,Pistola sinistra,Плазменый пистолет,プラズマピストル,Plasma Pistole,Pistolet plasma,Pistola de plasma,Plasma pistole,플라즈마 권총,Plasma Pistool,"Pistola Plasma
",等離子手槍,等离子手枪,
WPNAME_SNIPERRIFLE,Sniper Rifle,Rifle Sniper,Fuzil MLG,Снайперское ружье,スナイパーライフル,Scharfschützengewehr,Fusil sniper,Rifle de francotirador,Odstřelovací puška,저격 소총,Snipergeweer,"Fucile Da Cecchino
",狙擊步槍,狙击步枪,
WPNAME_PISTOLASSAULT,Assault Pistol,Pistola de Assalto,Pistola do BOPE,Навороченый пистолет,アサルトピストル,Sturmpistole,Pistolet d'assaut,Pistola de asalto,"Útočná pistole
",어썰트 피스톨,Aanvalspistool,"Pistola D'Assalto
",衝鋒手槍,冲锋手枪,
WPNAME_SHOTGUN,Shotgun,Escopeta,Punheteira,Дробовик,ショットガン,Schrotflinte,Fusil à pompe,Escopeta,Brokovnice,산탄총,Jachtgeweer,"Shotgun
",霰彈槍,霰弹枪,
WPNAME_KEYTAR,Keytar Gun,Canhão Musical,Canhão de Frescura,Синтезатор,キーターガン,Keytargewehr,Pistolet Keytar,Pistola Keytar,Keytar,기타건,Keytargeweer,"Fucile Keytar
",鍵盤結他槍,,
WPNAME_SHOTGUN_HEAVY,Heavy Shotgun,Escopeta Pesada,Trabuco,Тяжелый дробовик,ヘビーショットガン,Schwere Schrotflinte,Fusil à pompe lourd,Escopeta pesada,"Těžká brokovnice
",중형 산탄총,Zwaar Jachtgeweer,"Shotgun Pesante
",重型霰彈槍,重型霰弹枪,
WPNAME_SUBMACHINEGUN,Submachine Gun,Submetralhadora,Metranquinha,Полуавтомат,サブマシンガン,Maschinenpistole,Mitraillette,Metralleta,Samopal,기관 단총,Automatisch Pistool,SMG,衝鋒槍,冲锋枪,
WPNAME_HIGHMAG,Highmag,Highmag,Cheia de bala,Пулемет,ハイマグ,Großmagazin,Chargeur haute capacité,Highmag,Velký zásobník,맥 기관단총,Microscopisch,Highmag,高容量,,
WPNAME_MACHINEGUN,Machine Gun,Metralhadora,Metranca,Автомат,マシンガン,Maschinengewehr,Mitrailleuse,Ametralladora,Kulomet,기관총,Machinegeweer,"Mitragliatrice
",機槍,机枪,
WPNAME_ASSAULT_RIFLE,Assault Rifle,Rifle de Assalto,Fuzil do BOPE,Винтовка,アサルトライフル,Sturmgewehr,Fusil d'assaut,Rifle de asalto,"Útočná puška
",돌격 소총,Aanvalsgeweer,"Fucile D'Assalto
",突擊步槍,突击步枪,
WPNAME_BOSSGUN,Big F Gun,Armão Gigante,Canhão de Itu,Пушка,ファッ◯ガン,Sch...große Wumme,Put... de Gros Pistolet,Pistola jodidamente grande,"Šéfovská velká zbraň
",빅 F 건,Ontiegelijk Groot Wapen,BFG,大F槍,大F枪,
WPNAME_ROCKETLAUNCHER,Rocket Launcher,Lança-foguetes,Bazuca,Ракетница,ロケットランチャー,Panzerfaust,Lance-roquettes,Lanzacohetes,Raketomet,로켓 발사기,Raketwerper,"Lanciarazzi
",火箭發射器,火箭筒,
WPNAME_FLAMETHROWER,Flamethrower,Lança-chamas,Botafogo,Огнемет,かえんほうしゃき,Flammenwerfer,Lance-flammes,Lanzallamas,Plamenomet,화염 방사기,Vlammenwerper,"Lanciafiamme
",噴火器,火焰喷射器,
,,,,,,,,,,,,,,,
GENERAL_JIMMY,JIMMY,JIMMY,JOÃOZINHO,ДЖИММИ,JIMMY,JIMMY,JIMMY,JIMMY,Jimmy,JIMMY,JIMMY,"GIOVANNI
",JIMMY 占美,吉米（JIMMY）,
GENERAL_PINKYY,PINKYY,PINKYY,TATII,ПИНКИ,PINKYY,PINKYY,PINKYY,PINKYY,Pinkyy,PINKYY,PINKYY,ROSA,PINKYY 美琪,,
GENERAL_RAFF,RAFF,RAFF,ALEMÃO,РАФФ,RAFF,RAFF,RAFF,Raff,"Raff
",RAFF,RAFF,RAFAELLO,RAFF 拉夫,拉夫（RAFF）,
GENERAL_BIU,BIU,BIU,TIÃO,БЬЮ,BIU,BIU,BIU,Biu,Biu,BIU,BIU,MINO,BIU 鏢,彪（BIU）,
GENERAL_PUNNY,PUNNY,PUNNY,NOVINHA,ПЭННИ,PUNNY,PUNNY,PUNNY,Punny,Punny,PUNNY,PUNNY,NINA,PUNNY 賓尼,,
GENERAL_ASS,ASS,ASS,JEGUE,АС,ASS,ASS,ASS,Ass,Ass,ASS,ASS,ASINO,ASS 艾斯,,
GENERAL_RANDOM,RANDOM,aleatorio,VAI QQ UM,СЛУЧАЙНЫЙ,ランダム,Zufall,ALEATOIRE,Aleatorio,Náhodně,무작위,WILLEKEURIG,"CASUALE
",隨機,随机角色,
GENERAL_HP,HP,VIDA,SAÚDE,ХП,HP,LP,VIE,Vida,Zdraví,체력,HP,"VITA
",體力,血量,
GENERAL_SHIELD,SHIELD,ESCUDO,ESCUDINHO,ЩИТ,シールド,Schild,BOUCLIER,Escudo,Štít,실드,SCHILD,"SCUDO
",護甲,护盾,
GENERAL_STAMINA,STAMINA,STAMINA,FÔLEGO,ВЫНОСЛИВОСТЬ,スタミナ,Ausdauer,ENDURANCE,Resistencia/Aguante,Výdrž,스태미나,STAMINA,STAMINA,耐力,耐力,
GENERAL_LIGHTAMMO,LIGHT AMMO,MUNIÇÃO LEVE,BALA LEVE,МАЛАЯ ОБОЙМА,LIGHT AMMO,Leichte Munition,MUNITION LEGERE,Munición Ligera,Lehká munice,소형 탄환,LICHTE MUNITIE,"MUNIZ. LEGGERE
",輕型彈藥,轻型弹药,
GENERAL_MEDIUMAMMO,MEDIUM AMMO,MUNIÇÃO MÉDIA,BALA MEDIA,ОБЫЧНАЯ ОБОЙМА,MEDIUM AMMO,Mittlere Munition,MUNITION MOYENNE,Munición Media,Střední munice,중형 탄환,MATIGE MUNITIE,"MUNIZ. MEDIE
",中型彈藥,中型弹药,
GENERAL_HEAVYAMMO,HEAVY AMMO,MUNIÇÃO PESADA,BALA SINISTRA,БОЛЬШАЯ ОБОЙМА,HEAVY AMMO,Schwere Munition,MUNITION LOURDE,Munición Pesada,Těžká munice,대형 탄환,ZWARE MUNITIE,"MUNIZ. PESANTI
",重型彈藥,重型弹药,
GENERAL_GRENADES,GRENADES,GRANADAS,BOMBA,ГРАНАТЫ,グレネード,Granaten,GRENADES,Granadas,Granát,그레네이드,GRANATEN,"GRANATE
",手榴彈,手榴弹,
GENERAL_SHOP_OVERSHIELD,OVERSHIELD,ESCUDO EXTRA,ESCUDÃO,СУПЕРЩИТ,きょうかシールド,Superschild,Bouclier supplémentaire,Escudo extra,"Štít
",과충전 실드,OVERLAAD SCHILD,"SOVRASCUDO
",額外護甲,额外护盾,
GENERAL_SHOP_LIGHTAMMO,EXTRA LIGHT AMMO,MUNIÇÃO LEVE EXTRA,BALA LEVE A +,МАЛО ДОП ПАТРОНОВ,EXTRA LIGHT AMMO,Extra leichte Munition,MUNITION LEGERE EXTRA,Munición Ligera Extra,Extra lehká munice,추가 소형 탄환,EXTRA LICHTE MUNITIE,"MUNIZ. LEGGERE EXTRA
",增量輕型彈藥,,
GENERAL_SHOP_MEDIUMAMMO,EXTRA MEDIUM AMMO,MUNIÇÃO MÉDIA EXTRA,MAIS BALA MEDIA,ЕСТЬ ДОП ПАТРОНЫ,EXTRA MEDIUM AMMO,Extra mittlere Munition,MUNITION MOYENNE EXTRA,Munición Media Extra,Extra střední munice,추가 중형 탄환,EXTRA MATIGE MUNITIE,"MUNIZ. MEDIE EXTRA
",增量中型彈藥,,
GENERAL_SHOP_HEAVYAMMO,EXTRA HEAVY AMMO,MUNIÇÃO PESADA EXTRA,+ BALA SINISTRA,МНОГО ДОП ПАТРОНОВ,EXTRA HEAVY AMMO,Extra schwere Munition,MUNITION LOURDE EXTRA,Munición Pesada Extra,Extra těžká munice,추가 대형 탄환,EXTRA ZWARE MUNITIE,"MUNIZ. PESANTI EXTRA
",增量重型彈藥,,
GENERAL_SHOP_GRENADES,MORE GRENADES,GRANADAS EXTRAS,MAIS BOMBA,МНОГО ГРАНАТ,ついか グレネード,Extra Granaten,GRENADES EN PLUS,Más Granadas,Extra granáty,그레네이드 추가,MEER GRANATEN,PIÙ GRANATE,更多手榴彈,更多手榴弹,
GENERAL_TELEPORTER_STAGE,STAGE:,FASE:,FAZE:,УРОВЕНЬ:,ステージ:,Level:,NIVEAU:,Nivel:,"Úroveň:
",스테이지:,NIVEAU:,"LIVELLO:
",階段：,关卡：,
GENERAL_DODGE,DODGE,ESQUIVA,ERROU,УВОРОТ,ドッジ,Ausweichen,ESQUIVE,Esquivar,Vyhnutí,회피,ONTWEKEN,"SCHIVA
",閃避,躲闪,
,,,,,,,,,,,,,,,
HUD_GAMEOVER,GAME OVER,FIM DE JOGO,PERDEU PLAYBOY,ИГРА ОКОНЧЕНА,GAME OVER,Ende,PARTIE TERMINE,Fin de partida,Konec hry,게임오버,GAME OVER,GAME OVER,遊戲結束,游戏结束,
HUD_GAMEOVER_RETRY,Press Space to Retry,Aperte Espaço para Recomeçar,Espaço p tentar d novo kkk,"Нажмите ""Пробел"" для продолжения",SPACEを おして リトライ,Drücke Leertaste um neu zu starten,Appuyez sur espace pour recommencer,Pulsa Espacio para reintentar,Zmáčkni mezerník pro návrat,재도전 하려면 스페이스를 누르세요.,Druk op Spatie om het opnieuw te proberen.,"Premi Spazio per Riprovare
",按空白鍵重試,按 空格 重试,
