,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
WPNAME_PISTOLJIMMY,Elite Pistol,Pistola Elite,Pistola de playboy,Элитный пистолет,エリートピストル,Elitepistole,Pistolet d'élite,Pistola de élite,Elitní pistole,정예 권총,Elite Pistool,Pistola Elite,精良手槍,优质手枪,Pistol elit,Elitarny pistolet,Elit Pisztoly,,,Elite pistol.,,Good Flintlock,אקדח עילי,Elitpistol,Ελίτ Πιστόλι,Súng Lục Elite,Elit Tabanca,مسدس النخبة,Pistola Elite,Eliittipistooli,Елитен Пистолет,Elitinis Pistoletas
WPNAME_PISTOL_RELIC,Relic Pistol,Pistola Relíquia,Pistola Robada,Реликвийный пистолет,こだいの ピストル,Relikt Pistole,Pistolet relique,Pistola de reliquia,,,Relikwie Pistool,,,遗迹手枪,Pistol Relik,Pistolet reliktu,Ereklye Pisztoly,,,Oldgammel pistol.,,,אקדח פסל,Relikpistol,Κειμήλιο Πιστόλι,,,مسدس أثري,,,Пистолет реликва,Relikvinis Pistoletas
WPNAME_PISTOLHEAVY,Heavy Pistol,Pistola Pesada,Pistolona,Тяжелый пистолет,ヘビーピストル,Schwere Pistole,Pistolet lourd,Pistola pesada,Těžká pistole,중형 권총,Zwaar Pistool,Pistola Pesante,重型手槍,重型手枪,Pistol berat,Ciężka spluwa,Nehéz Pisztoly,,,Stærk pistol.,,Heavy Flintlock,אקדח כבד,Tung Pistol,Βαρύ πιστόλι,Súng Lục Nặng,Ağır Tabanca,مسدس ثقيل,Pistola Pesada,Raskas pistooli,Тежък пистолет,Sunkus Pistoletas
WPNAME_PISTOLPLASMA,Plasma Pistol,Pistola de Plasma,Pistola de Nerd,Плазменый пистолет,プラズマピストル,Plasma Pistole,Pistolet plasma,Pistola de plasma,Plasma pistole,플라즈마 권총,Plasma Pistool,Pistola Plasma,電漿手槍,等离子手枪,Pistol plasma,Pistolet plazmowy,Plazma Pisztoly,,,Plasma Pistol.,,Really Hot Flintlock,אקדח פלזמה,Plasmapistol,Πιστόλι Πλάσμα,Súng Lục Nguyên Tử,Plazma Tabancası,مسدس بلازما,Pistola de Plasma,Plasmapistooli,Плазмен пистолет,Plasmos Pistoletas
WPNAME_SNIPERRIFLE,Sniper Rifle,Rifle Sniper,Fuzil MLG,Снайперская винтовка,スナイパーライフル,Scharfschützengewehr,Fusil sniper,Rifle francotirador,Odstřelovací puška,저격 소총,Snipergeweer,Fucile Da Cecchino,狙擊步槍,狙击步枪,Senapan runduk,Karabin snajperski,Mesterlövész Puska,,,Snigskytte riffel.,,Sniper,רובה צלפים,Krypskyttegevär,Τουφέκι Σκοπευτή,Súng Nhắm,Keskin Nişancı Tüfeği,بندقية القناص,Espingarda Sniper,Tarkkuuskivääri,Снайпер,Snaiperis
WPNAME_PISTOLASSAULT,Assault Pistol,Pistola de Assalto,Pistola do BOPE,Штурмовой пистолет,アサルトピストル,Sturmpistole,Pistolet d'assaut,Pistola de asalto,Útočná pistole,어썰트 피스톨,Aanvalspistool,Pistola D'Assalto,衝鋒手槍,冲锋手枪,Pistol Serbu,Pistolet szturmowy,Rohampisztoly,,,Angrebs Pistol.,,Assault Flintlock,אקדח תקיפה,Anfallspistol,Αυτόματο Πιστόλι,Súng Lục Liên Thanh,Saldırı Tabancası,مسدس هجومي,Pistola de Assalto,Rynnäkköpistooli,Нападателен пистолет,Medžioklės Pistoletas
WPNAME_SHOTGUN,Shotgun,Escopeta,Punheteira,Дробовик,ショットガン,Schrotflinte,Fusil à pompe,Escopeta,Brokovnice,산탄총,Jachtgeweer,Shotgun,霰彈槍,霰弹枪,Senapan sebar,Strzelba,Sörétes,,,Shotgun.,,Shotgun,שוטגן,Hagelbössa,Καραμπίνα,Shotgun Nhỏ,Pompalı Tüfek,شوزن,Shotgun,Haulikko,Ловджийска пушка,Šratinis Šautuvas
WPNAME_SHOTGUN_CRUDE,Crude Shotgun,Escopeta Ruim,Punheteira Lixo,Примитивный дробовик,そあくな ショットガン,Primitive Schrotflinte,Fusil à pompe brutal,Escopeta improvisada,Surová Brokovnice,,,,,粗制霰弹枪,,Brutalna strzelba,Nyers Shotgun,,,Grov Shotgun.,,,שוטגן גולמי,Primitiv Hagelbössa,Αυτοσχέδια Καραμπίνα,,,شوزن بدائية,,,Ловджийска пушка(зла),Paprastas Šratinis Šautuvas
WPNAME_KEYTAR,Keytar Gun,Canhão Musical,Canhão de Frescura,Синтезатор,キーターガン,Keytargewehr,Pistolet Keytar,Pistola Keytar,Keytar,기타건,Keytargeweer,Fucile Keytar,鍵盤結他槍,键盘吉他枪,,Keytara,Billentyű-Gitár,,,Keytaren.,,Keytar,גיטרת קלידים,Keytargevär,Όπλο Κιταρ,Súng Đàn Phím,Keytar Silahı,بندقية العازف,Canhão Musical,Keytar-ase,Пушката на Кейтар,Keytaro Šautuvas
WPNAME_SHOTGUN_HEAVY,Heavy Shotgun,Escopeta Pesada,Trabuco,Тяжелый дробовик,ヘビーショットガン,Schwere Schrotflinte,Fusil à pompe lourd,Escopeta pesada,Těžká brokovnice,중형 산탄총,Zwaar Jachtgeweer,Shotgun Pesante,重型霰彈槍,重型霰弹枪,,Ciężka strzelba,Nehéz Sörétes,,,Heavy Shotgun.,,Big Shotgun,שוטגן כבד,Tung Hagelbössa,Βαριά Καραμπίνα,ShotGun Hạng Nặng,Ağır Pompalı Tüfek,شوزن ثقيلة,Shotgun Pesada,Raskas haulikko,тежка ловджийска пушка,Sunkus Šratinis Šautuvas
WPNAME_SUBMACHINEGUN,Submachine Gun,Submetralhadora,Metranquinha,Пистолет-пулемет,サブマシンガン,Maschinenpistole,Mitraillette,Metralleta,Samopal,기관 단총,Automatisch Pistool,SMG,衝鋒槍,冲锋枪,,Pistolet maszynowy,Géppisztoly,,,Lille Maskinepistol.,,SMG,תת-מקלע,Kulsprutepistol,Υποπολυβόλο,Súng Máy Nhỏ,Yarı Makineli Tüfek,رشاش قصير,Submetrelhadora,Konepistooli,"SMG
",SMG
WPNAME_SUBMACHINEGUN_CRUDE,Crude SMG,SMG Ruim,Metranca Podre,Примитивный ПП,そあくな SMG,Primitive Maschinenpistole,Mitraillette brutale,Metralleta improvisada,Surové SMG,,,,,粗制冲锋枪,,Brutalny PM,,,,Lille Grov Maskinepistol.,,,תת-מקלע גולמי,Primitiv Kulsprutepistol,Αυτοσχέδιο Υποπολυβόλο,,,رشاش قصير بدائي,,,SMG(злo),Paprastas SMG
WPNAME_HIGHMAG,Highmag,Highmag,Cheia de bala,Автомат,ハイマグ,Großmagazin,Chargeur haute capacité,Highmag,Velký zásobník,맥 기관단총,Microscopisch,Highmag,高容量,大容量弹夹,,Highmag,Higmag,,,Highmag.,,Almost-Machine Gun,היימאג,Highmag,Μεγάλου Γεμιστήρα,Súng Lan Tỏa,Geniş Şarjörlü,رشاش سريع,Highmag,Suurilipas,Highmag,Automatas
WPNAME_MACHINEGUN,Machine Gun,Metralhadora,Metranca,Пулемет,マシンガン,Maschinengewehr,Mitrailleuse,Ametralladora,Kulomet,기관총,Machinegeweer,Mitragliatrice,機槍,机枪,,Karabin maszynowy,Géppuska,,,Maskinepistol.,,Machine Gun,מכונת יריה,Maskingevär,Πολυβόλο,Súng Máy To,Makinalı Tüfek,رشاش,Metrelhadora,Konekivääri,Machine gun,Kulkosvaidis
WPNAME_ASSAULT_RIFLE,Assault Rifle,Rifle de Assalto,Fuzil do BOPE,Штурмовая Винтовка,アサルトライフル,Sturmgewehr,Fusil d'assaut,Rifle de asalto,Útočná puška,돌격 소총,Aanvalsgeweer,Fucile D'Assalto,突擊步槍,突击步枪,,Karabin szturmowy,Gépkarabély,,,Angrebs Riffel.,,Assault Rifle,רובה תקיפה,Automatkarbin,Αυτόματο Τουφέκι,Súng Đặc Nhiệm,Piyade Tüfeği,بندقية هجومية,Espingarda de Assalto,Rynnäkkökivääri,Assault Rifle,Medžioklės Šautuvas
WPNAME_ASSAULT_RIFLE_CRUDE,Crude Assault Rifle,Rifle de Assalto Ruim,Fuzil Lixo,Примитивная штурмовая винтовка,そあくな アサルトライフル,Primitives Sturmgewehr,Fusil d'assaut brutal,Rifle de asalto improvisado,Surová útočná puška,,,,,粗制突击步枪,,Brutalny karabin szturmowy,,,,Grov Angrebs Riffel.,,,רובה תקיפה גולמי,,Αυτοσχέδιο Αυτόματο Τουφέκι,,,بندقية هجومية بدائية,,,Assault Rifle(зъл),Paprastas Medžioklės Šautuvas
WPNAME_BOSSGUN,Big F Gun,Armão Gigante,Canhão de Itu,BFG,ビッグファッ◯ガン,Sch... große Wumme,Put... de Gros Pistolet,Pistola J grande,Šéfovská velká zbraň,빅 F 건,Ontiegelijk Groot Wapen,BFG,大F槍,大F枪,,Big F Gun,K. Nagy Lőfegyver,,,STOR ****ING PISTOL.,,BFG,רובה F גדול,Stort J Vapen,Μεγάλο Γαμ. Όπλο,Súng Khủng Bố,Koca S Silahı,بندقية كبيرة,Arma Gigante,Iso V-ase,Big F Gun ,Didelis F Šautuvas
WPNAME_ROCKETLAUNCHER,Rocket Launcher,Lança-foguetes,Bazuca,Ракетница,ロケットランチャー,Panzerfaust,Lance-roquettes,Lanzacohetes,Raketomet,로켓 발사기,Raketwerper,Lanciarazzi,火箭發射器,火箭筒,,Wyrzutnia rakiet,Rakétavető,,,Raket kaster,,Boom Boom,מטול טילים,Raketgevär,Ρουκετοβόλο,Súng Tên Lửa,Roketatar,قاذفة صواريخ,Lança Rockets,Raketinheitin,Ракетоизтрелвачка,Raketos paleidėjas
WPNAME_FLAMETHROWER,Flamethrower,Lança-chamas,Botafogo,Огнемет,かえんほうしゃき,Flammenwerfer,Lance-flammes,Lanzallamas,Plamenomet,화염 방사기,Vlammenwerper,Lanciafiamme,噴火器,火焰喷射器,,Miotacz ognia,Lángszóró,,,Flamekaster,,Flamer,להביור,Eldkastare,Φλογοβόλο,Súng Lửa,Lav Silahı,قاذفة لهب,Lança-Chamas,Liekinheitin,Огнехвъргачка,Liepsnosvaidis
WPNAME_SUBMACHINEGUN_PLASMA,Plasma SMG,SMG de Plasma,SMG de Nerd,Плазменный ПП,プラズマSMG,Plasma SMG,Mitraillette plasma,Metralleta de plasma,Plazmové SMG,Plasma SMG,Plasma SMG,Plasma SMG,Plasma SMG,等离子冲锋枪,Plasma SMG,Plazmowy Pistolet maszynowy,Plasma SMG,Plasma SMG,Plasma SMG,Plasma SMG,Plasma SMG,Plasma SMG,פלזמת תת-מקלע,Plasma SMG,Υποπολυβόλο Πλάσματος,Plasma SMG,Plasma SMG,رشاش بلازما قصير,Plasma SMG,Plasma SMG,Плазма SMG,Plasma SMG
WPNAME_BOUNCER,Bouncer,Ricochete,Arma do Kiko,Рикошет,バウンド,Bouncer,Videur,Rebotadora,Bouncer,Bouncer,Bouncer,Bouncer,Bouncer,弹跳者,Bouncer,Rykoszet,Bouncer,Bouncer,Bouncer,Bouncer,Bouncer,Bouncer,קופצן,Studsare,Όπλο που αναπηδάει,Bouncer,Bouncer,حارس,Bouncer,Bouncer,Bouncer,Atstumėjas
WPNAME_PISTOL_BOUNCER,Bouncer Pistol,Pistola Ricochete,Pistola do Kiko,Рикошетный пистолет,バウンドピストル,Bouncer Pistol,Pistolet videur,Pistola rebotadora,Bouncer Pistol,Bouncer Pistol,Stuiter Pistool,Bouncer Pistol,Bouncer Pistol,弹跳手枪,Bouncer Pistol,Pistolet rykoszetowy,Bouncer Pistol,Bouncer Pistol,Bouncer Pistol,Bouncer Pistol,Bouncer Pistol,Bouncer Pistol,אקדח קופצן,Studsarpistol,Πιστόλι που αναπηδάει,Bouncer Pistol,Bouncer Pistol,مسدس حارس,Bouncer Pistol,Bouncer Pistol,Bouncer Пистолет,Atstumiantis pistoletas
WPNAME_PISTOL_BLAST,Blast Pistol,Pistola Explosiva,Pistola Bate-Explode,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol,Blast Pistol
WPNAME_RIFLE_RELIC,Relic Rifle,Rifle de Relíquia,Fuzil Apelão,Реликвийная винтовка,こだいのライフル,Relikt Gewehr,Fusil relique,Rifle de reliquia,Relic Rifle,Relic Rifle,Relikwie Geweer,Relic Rifle,Relic Rifle,遗迹步枪,Relic Rifle,Reliktowy Karabin,Relic Rifle,Relic Rifle,Relic Rifle,Relic Rifle,Relic Rifle,Relic Rifle,רובה פסל,Relikgevär,Κειμήλιο Τουφέκι,Relic Rifle,Yadigar Tüfek,أثر بندقية,Relic Rifle,Relic Rifle,Rifle реликва,Relikvinis Šautuvas
WPNAME_SHOTGUN_RELIC,Relic Shotgun,Escopeta de Relíquia,Escopeta Zoadora,Реликвийный дробовик,こだいのショットガン,Relikt Schrotflinte,Fusil à pompe relique,Escopeta de reliquia,Relic Shotgun,Relic Shotgun,Relikwie Shotgun,Relic Shotgun,Relic Shotgun,遗迹霰弹枪,Relic Shotgun,Reliktowa Strzelba,Relic Shotgun,Relic Shotgun,Relic Shotgun,Relic Shotgun,Relic Shotgun,Relic Shotgun,שוטגן פסל,Relikhagelbössa,Κειμήλιο Καραμπίνα,Relic Shotgun,Relic Shotgun,أثر شوزن,Relic Shotgun,Relic Shotgun,Реликвена Ловджийска Пушка,Relikvinė patranka
WPNAME_SUBMACHINEGUN_RELIC,Relic SMG,Metralhadora de Relíquia,Metranquinha OP,Реликвийный ПП,こだいのSMG,Relikt SMG,Mitraillette relique,Metralleta de reliquia,Relic SMG,Relic SMG,Relikwie SMG,Relic SMG,Relic SMG,遗迹冲锋枪,Relic SMG,Reliktowy Pistolet maszynowy,Relic SMG,Relic SMG,Relic SMG,Relic SMG,Relic SMG,Relic SMG,תת-מקלע פסל,Relik SMG,Κειμήλιο Υποπολυβόλο,Relic SMG,Relic SMG,أثر رشاش قصير,Relic SMG,Relic SMG,SMG реликва,Relikvinis SMG
WPNAME_SNIPER_RELIC,Relic Sniper,Sniper de Relíquia,Sniper IMBA,Реликвийная снайперская винтовка,こだいのスナイパーライフル,Relikt Scharfschützengewehr,Fusil de sniper relique,Rifle francotirador de reliquia,Relic Sniper,Relic Sniper,Relikwie Sniper,Relic Sniper,Relic Sniper,遗迹狙击枪,Relic Sniper,Reliktowy Karabin snajperski,Relic Sniper,Relic Sniper,Relic Sniper,Relic Sniper,Relic Sniper,Relic Sniper,צלף פסל,Relikt Krypskyttegevär,Κειμήλιο Τουφέκι Σκοπευτή,Relic Sniper,Yadigar Keskin Nişancı,أثر قناصة,Relic Sniper,Relic Sniper,реликвен Снайпер,Relikvinis snaiperis
WPNAME_SNIPER_GHOST,The Ghost,O Fantasma,Wallhack,Призрак,ザ・ゴースト,Der Geist,Le fantôme,El Fantasma,The Ghost,The Ghost,De Geest,The Ghost,The Ghost,The Ghost,The Ghost,Duch,The Ghost,The Ghost,The Ghost,The Ghost,The Ghost,The Ghost,"ה""רוח""",Vålnaden,Το Φάντασμα,The Ghost,Hayalet,الشبح,The Ghost,The Ghost,Духът,Šmėkla
WPNAME_ROCKETLAUNCHER_RELIC,Relic Rocket Launcher,Bazuca de Relíquia,Galahorne,Реликвийная ракетница,こだいのロケラン,Relikt Raketenwerfer,Lance roquettes relique,Lanzacohetes de reliquia,Relic Rocket Launcher,Relic Rocket Launcher,Relikwie Raket Lanceerder,Relic Rocket Launcher,Relic Rocket Launcher,遗迹火箭发射器,Relic Rocket Launcher,Reliktowa Wyrzutnia Rakiet,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,Relic Rocket Launcher,מטול טילים פסל,Relik Raketgevär,Κειμήλιο Ρουκετοβόλο,Relic Rocket Launcher,Yadigar Roket Atar,أثر قاذفة صواريخ,Relic Rocket Launcher,Relic Rocket Launcher,Реликвена Ракетоизтрелвачка,Relikvinis granatsvaidis
WPNAME_GLOVES,Gloves,Luvas,Socadoras,Рукавицы,グローブ,Handschuhe,Gants,Guantes,Gloves,Gloves,Handschoenen,Guanti,Gloves,手套,Gloves,Rękawice,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,כפפות,Handskar,Γάντια,Gloves,Eldivenler,قفازات,Gloves,Gloves,Ракъвици,Pirštinės
WPNAME_BUCKLER,Buckler,Escudo,Tampa De Lixo,Ручной щит,バックラー,Der Beschützer,Bouclier,Rodela,Buckler,Buckler,Buckler,Buckler,Buckler,圆盾,Buckler,Puklerz,Buckler,Buckler,Buckler,Buckler,Buckler,Buckler,מגן קרב,Bucklare,Ζώνη,Buckler,Kalkan,ترس,Buckler,Buckler,Buckler,Skydas
WPNAME_RELIC_CANNON,Relic Cannon,Canhão de Relíquia,Trabuco Triplo,Реликвийная пушка,こだいのたいほう,Relikt Kanone,Canon relique,Cañon de reliquia,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,遗迹大炮,Relic Cannon,Reliktowe Działo,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon,Κειμήλιο Κανόνι,Relic Cannon,Yadigar Top,أثر مدفع,Relic Cannon,Relic Cannon,Relic Cannon,Relic Cannon
WPNAME_MINIGUN_RELIC,Relic Minigun,Minigun de Relíquia,Metrancona OP,Реликвийная мини-пушка,こだいのミニガン,Relikt Minigun,Minigun relique,Minigun de reliquia,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,遗迹机枪,Relic Minigun,Reliktowy Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun,Κειμήλιο Μίνιγκαν,Relic Minigun,Yadigar Tabanca,أثر مينيغون,Relic Minigun,Relic Minigun,Relic Minigun,Relic Minigun
WPNAME_MINIGUN,Minigun,Minigun,Metrancona,Мини-пушка,ミニガン,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,机枪,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Minigun,Μίνιγκαν,Minigun,Tabanca,مينيغون,Minigun,Minigun,Minigun,Minigun
WPNAME_FLAKCANNON,Flak Cannon,Canhão Flak,Trabuco Espalhado,Зенитная пушка,さんだんたいほう,Flak Cannon,Canon anti-aérien,Cañon Flak,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,高射大炮,Flak Cannon,Działo Przeciwlotnicze,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon,مدفع مضاد,Flak Cannon,Flak Cannon,Flak Cannon,Flak Cannon
WPNAME_DUCAN_RIFLE,Ducan Rifle,Rifle Ducan,Rifle do Bope,Винтовка Уткана,デュカンのライフル,Ducan Gewehr,Fusil Ducan,Rifle Ducan,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan 步枪,Ducan Rifle,Karabin Ducana,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle,Τουφέκι Πάπιου,Ducan Rifle,Ducan Rifle,بندقية دوكان,Ducan Rifle,Ducan Rifle,Ducan Rifle,Ducan Rifle
WPNAME_DUCAN_PLASMA,Ducan Plasma,Plasma Ducan,Plasma do Bope,Плазменный пистолет Уткана,デュカンのプラズマ,Ducan Plasma,Plasma Ducan,Plasma Ducan,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan 等离子枪,Ducan Plasma,Plazma Ducana,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma,Πλάσμα Πάπιου,Ducan Plasma,Ducan Plasma,بلازما دوكان,Ducan Plasma,Ducan Plasma,Ducan Plasma,Ducan Plasma
WPNAME_DUCAN_SHOTGUN,Ducan Shotgun,Escopeta Ducan,Escopeta do Bope,Дробовик Уткана,デュカンのショットガン,Ducan Schrotflinte,Fusil à pompe Ducan,Escopeta Ducan,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan 霰散弹,Ducan Shotgun,Strzelba Ducana,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Καραμπίνα Πάπιου,Ducan Shotgun,Ducan Shotgun,دوكان شوزن,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun,Ducan Shotgun
WPNAME_SPOOKY_REAPER,Spooky Reaper,Ceifador Assustador,Tambor da Macumba,Призрачный Жнец,のろわれたしにがみ,Spooky Reaper,Spooky Reaper,Segadora escalofriante,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,幽魂收割者,Spooky Reaper,Upiorny Żniwiarz,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper,Στοιχιωμένος Θεριστής,Spooky Reaper,Spooky Reaper,حاصد مخيف,Spooky Reaper,Spooky Reaper,Spooky Reaper,Spooky Reaper
WPNAME_SPOOKY_BEAMER,Spooky Beamer,Laser Assustador,Lazer da Macumba,Призрачный Бимер,のろわれたビームじゅう,Spooky Beamer,Spooky Beamer,Pistola de rayos escalofriante,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,幽魂光束枪,Spooky Beamer,Upiorny Promień,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer,بلازما مخيف,Spooky Beamer,Spooky Beamer,Spooky Beamer,Spooky Beamer
WPNAME_SPOOKY_PISTOL,Spooky Pistol,Pistola Assustadora,Pistola da Macumba,Призрачный пистолет,のろわれたピストル,Spooky Pistol,Pisolet Spooky,Pistola escalofriante,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,幽魂手枪,Spooky Pistol,Upiorny Pistolet,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol,Στοιχιωμένο Πιστόλι,Spooky Pistol,Spooky Pistol,مسدس مخيف,Spooky Pistol,Spooky Pistol,Spooky Pistol,Spooky Pistol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL_JIMMY,JIMMY,JIMMY,JOÃOZINHO,ДЖИММИ,JIMMY,JIMMY,JIMMY,JIMMY,Jimmy,JIMMY,JIMMY,JIMMY,JIMMY,JIMMY 吉米,JIMMY,JIMMY,JIMMY,จิมมี่,JIMMY,LIAM,,Jimmy,ג'ימי,JIMMY,ΤΖΙΜΙ,JIMMY,JIMMY,جِمي,JIMMY,JIMMY,ДЖИМИ,DŽIMIS
GENERAL_PINKYY,PINKYY,PINKYY,TATII,ПИНКИ,PINKYY,PINKYY,PINKYY,PINKYY,Pinkyy,PINKYY,PINKYY,PINKYY,PINKYY 美琪,PINKYY 小粉,PINKYY,PINKYY,PINKYY,พิงค์กี้,PINKYY,PINKY,,Pinkyy,פינקיי,PINKYY,ΠΙΝΚΙ,PINKYY,PINKYY,بِنكي,PINKY,PINKYY,ПИНКИ,ROŽINUKĖ
GENERAL_RAFF,RAFF,RAFF,ALEMÃO,РАФФ,RAFF,RAFF,RAFF,RAFF,Raff,RAFF,RAFF,RAFF,RAFF 拉夫,RAFF 拉夫,RAFF,RAFF,RAFF,ราฟ,RAFF,RAFF.,,Raff,ראף,RAFF,ΡΑΦ,RAFF,RAFF,راف,RAFF,RAFF,РАФ,RAFAS
GENERAL_BIU,BIU,BIU,TIÃO,БЬЮ,BIU,BIU,BIU,BIU,Biu,BIU,BIU,BIU,BIU 鏢,BIU 彪,BIU,BIU,BIU,ไบ,BIU,BIU.,,Biu,ביו,BIU,ΜΠΙΟΥ,BIU,BIU,بيو,BIU,BIU,БИУ,BIU
GENERAL_PUNNY,PUNNY,PUNNY,NOVINHA,ПЭННИ,PUNNY,PUNNY,PUNNY,PUNNY,Punny,PUNNY,PUNNY,PUNNY,PUNNY 賓尼,PUNNY 帕尼,PUNNY,PUNNY,PUNNY,พันนี,PUNNY,PUNNY.,,Punny,פאני,PUNNY,ΠΑΝΙ,PUNNY,PUNNY,بَني,PUNNY,PUNNY,ПУНИ,MAŽOJI
GENERAL_ASS,ACE,ACE,JEGUE,ЭЙС,ACE,ACE,ACE,ACE,Ace,ACE,ACE,ACE,Ace 驢子,ACE 艾斯,ACE,ACE,ACE,แอส,ESEL,ÆSEL.,,A$$,החמור,ACE,ΑΣ,ACE,ACE,آيس,ACE,ACE,АЙС,EISAS
GENERAL_RIDER,RED,RED,MENDIGA,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED,RED
GENERAL_RANDOM,RANDOM,ALEATÓRIO,VAI QQ UM,СЛУЧАЙНЫЙ,ランダム,Zufall,ALEATOIRE,ALEATORIO,Náhodně,무작위,WILLEKEURIG,CASUALE,隨機,随机角色,Acak,Losowo,VÉLETLENSZERÜ,สุ่ม,TILFELDIG,TILFÆLDIG.,,Any o' 'em,אקראי,RANDOM,ΤΥΧΑΙΑ ΕΠΙΛΟΓΗ,WILLEKEURIG,RASTGELE,عشوائي,RANDOM,RANDOM,ПРОЙЗВОЛЕН,ATSITIKTINIS
GENERAL_HP,HP,VIDA,SANGUE,ХП,HP,LP,VIE,Vida,Zdraví,체력,HP,VITA,體力,血量,Nyawa,ŻYCIE,ÉLETERŐ,พลังชีวิต,HP,HP.,,Vigor,HP,HP,ΥΓΕΙΑ,Sinh Lực,CAN,صحة,VIDA,TERVEYS,"ЖИВОТ
",GIVYBĖS
GENERAL_SHIELD,SHIELD,ESCUDO,ESCUDINHO,ЩИТ,シールド,Schild,BOUCLIER,Escudo,Štít,실드,SCHILD,SCUDO,護甲,护盾,Perisai,TARCZA,PAJZS,เกราะ,SKJOLD,SKJOLD,,Dodge,מגן,SKÖLD,ΑΣΠΙΔΑ,Áo Giáp,KALKAN,حماية,ESCUDO,KILPI,ЩИТ,SKYDAS
GENERAL_STAMINA,STAMINA,STAMINA,FÔLEGO,ВЫНОСЛИВОСТЬ,スタミナ,Ausdauer,ENDURANCE,Energía,Výdrž,스태미나,STAMINA,STAMINA,耐力,耐力,Stamina,WYTRZYMAŁOŚĆ,ÁLLÓKÉPESSÉG,ความอดทน,STAMINA,STAMINA,,Exhaustion,סיבולת,STAMINA,ΑΝΤΟΧΗ,Thể Lực,NEFES SEVİYESİ,تحمل,STAMINA,KESTÄVYYS,ИЗДРЪЖЛИВОСТ,IŠTVERMĖ
